Year,Month,Day,Time,End Year,End Month,End Day,End Time,Display Date,Headline,Text,Media,Media Credit,Media Caption,Media Thumbnail,Type,Group,Background
,,,,,,,,,,,,,,,,,
,,,,,,,,,Histórico de composição dos Órgãos Judicantes,Percorra a linha do tempo para ver as datas de alterações dos órgãos judicantes,https://drive.google.com/file/d/1yerlrhCUA5QcAlrjOhsMxYP_DvaOkc2M/view?usp=share_link,"Para consultar as datas de alteração, use a seta ao lado","Para ver a composição atual, use a seta abaixo",,title,,
2025,10,9,,,,,,9 de Outubro de 2025,9/10/2025,"<a href="""" title=""levar para link"">  </a>",https://drive.google.com/file/d/1hb373nMwe8lVYJhLCx5DbQNyf8Cl2lAN/view?usp=sharing,https://juslaboris.tst.jus.br/handle/20.500.12178/257517,"ATO SEGJUD.GP N.° 639, DE 9 DE OUTUBRO DE 2025",,,,
2025,9,29,,,,,,29 de Setembro de 2025,29/9/2025,"<a href="""" title=""levar para link"">  </a>",https://drive.google.com/file/d/1sZNjNZIh6VG5qlyy61g9pzXyVNlipDOF/view?usp=sharing,https://juslaboris.tst.jus.br/handle/20.500.12178/257227,"ATO SEGJUD.GP N.° 598, DE 29 DE SETEMBRO DE 2025",,,,
2025,9,26,,,,,,26 de Setembro de 2025,26/9/2025,"<a href="""" title=""levar para link"">  </a>",https://drive.google.com/file/d/155Hws3YEht0J61sfHyyzt0Phpk6Dj_gw/view?usp=sharing,https://juslaboris.tst.jus.br/handle/20.500.12178/256912,"ATO SEGJUD.GP N,° 596, DE 26 DE SETEMBRO DE 2025",,,,
2025,9,23,,,,,,23 de Setembro de 2025,23/9/2025,"<a href=""https://docs.google.com/document/d/17TlW5yS3VZpWmOOXz-NGm4yPMUAipj422tbfAkt91wg/edit?usp=sharing""> ATO SEGJUD.GP N.° 568, DE 23 DE SETEMBRO DE 2025. </a>",https://drive.google.com/file/d/1-JlRmJ3IyVE7nWMUtbIuy_NeS2ktpg71/view?usp=sharing,https://juslaboris.tst.jus.br/handle/20.500.12178/256562,"ATO SEGJUD.GP N.° 568, DE 23 DE SETEMBRO DE 2025",,,,
2025,5,7,,,,,,7 de Maio de 2025,7/5/2025,"<a href=""https://docs.google.com/document/d/1v4d-wQ1JnAy7HP-2Z0Qh5U65dMjin_cB/edit?usp=sharing&ouid=107111240083344253082&rtpof=true&sd=true"" title=""levar para link ""> ATO SEGJUD.GP N.° 235, DE 7 DE MAIO DE 2025. </a>",https://drive.google.com/file/d/1T0R6ElKbxQTpSQq2dYvk-BnAJftYUNgH/view?usp=sharing,https://juslaboris.tst.jus.br/handle/20.500.12178/249457,"ATO SEGJUD.GP  N.° 235, DE 7 DE MAIO DE 2025",,,,
2024,10,17,,,,,,17 de Outubro de 2024,17/10/2024,"<a href=""https://docs.google.com/document/d/10g17GYMkY6Fe0ZGIU6YH3WCJ0s9ApqolnJTAmsX42IY/edit?usp=sharing"" title=""levar para link ""> ATO SEGJUD.GP N.° 562, DE 17 DE OUTRUBRO DE 2024. </a>",https://juslaboris.tst.jus.br/handle/20.500.12178/240415,"ATO SEGJUD.GP N.º 562, DE 17 DE OUTUBRO DE 2024",,,,
2024,8,12,,,,,,12 de Agosto de 2024,12/8/2024,"<a href=""https://docs.google.com/document/d/1shF4ApNCScUEMTELgOVjTTeBRB_nV_Ee17Jj5qqh1Aw/pub""> ATO SEGJUD.GP N.º 428, DE 12 DE AGOSTO DE 2024. </a>",https://juslaboris.tst.jus.br/handle/20.500.12178/236418,"ATO SEGJUD.GP N.º 428, DE 12 DE AGOSTO DE 2024.",,,,
2024,7,2,,,,,,2 de julho de 2024,2/7/2024,"<a href=""https://docs.google.com/document/d/e/2PACX-1vTcu3vFuM1HFDXaOyzER2-dyoJyFZj-2_uXlcOdya34hACe2-M0yrm2ptdowfC_c6M9E7kj3Em3H28y/pub""> ATO SEGJUD.GP Nº 351, DE 2 DE JULHO DE 2024 </a>",https://drive.google.com/file/d/1_2Wf5CKjJYBzJWsaApGrjECmfpJPmAJb/view?usp=sharing,https://juslaboris.tst.jus.br/handle/20.500.12178/234974,"ATO SEGJUD.GP Nº 351, DE 2 DE JULHO DE 2024",,,,
2024,2,9,,,,,,09 de Fevereiro de 2024,9/2/2024,"<a href=""https://docs.google.com/document/d/e/2PACX-1vSGjYZziclp76MpnzL9azjkyo8Wk_K6JCg8zVOu4TSij9N5wSwIMuq4JjOIinLKQVmygX7drrJUkXcu/pub"" title=""levar para link""> ATO SEGJUD.GP Nº 87, DE 9 DE FEVEREIRO DE 2024 </a>",https://juslaboris.tst.jus.br/handle/20.500.12178/228668,"ATO SEGJUD.GP Nº 87, DE 9 DE FEVEREIRO DE 2024",,,,
2024,2,2,,,,,,02 de Fevereiro de 2024,2/2/2024,"<a href=""https://docs.google.com/document/d/e/2PACX-1vQmAhuAWpge-0JdZ8qy3W3bjv5uSLsUkLiW7erpH-2gEmz8yTvoy6vVsMlAr1SQiNo2acP5oegodBXw/pub"" title=""levar para link""> ATO SEGJUD.GP N° 67, DE 2 DE FEVEREIRO DE 2024. </a>
",https://drive.google.com/file/d/1yMvGSnqEKjaxcsZ-N6NYitL7PVeCkXQ-/view?usp=sharing,https://juslaboris.tst.jus.br/handle/20.500.12178/228514,"ATO SEGJUD.GP N° 67, DE 2 DE FEVEREIRO DE 2024.",,,,
2023,5,8,,,,,,08 de Maio de 2023,8/5/2023,"<a href=""https://docs.google.com/document/d/e/2PACX-1vSmJn9dC3U42bLaku01LUUXXGCWq1LRkNI2IKtz9Ho51O1Y4zEQnwOX7F1yhwWveRB3J19f2WzdS4mh/pub"" title=""levar para link""> ATO SEGJUD.GP Nº 239, DE 8 DE MAIO DE 2023.</a>
",https://drive.google.com/file/d/1K3nr8J_-J2zlGjY1alsDWgg640E_QEHw/view?usp=share_link,https://juslaboris.tst.jus.br/handle/20.500.12178/215453,"ATO SEGJUD.GP Nº 239, DE 8 DE MAIO DE 2023.",,,,
2023,4,19,,,,,,19 de Abril de 2023,19/4/2023,"<a href=""https://docs.google.com/document/d/e/2PACX-1vToj6nu32QUnnjEKKjFXXhsQTwUjdz5RvgDKjLF-tyswPTdfjw5ktKxiMAhQQVAO8ThO-2PcXxS-vOj/pub"" title=""levar para link""> ATO SEGJUD.GP Nº 196, DE 19 DE ABRIL DE 2023.</a>",https://drive.google.com/file/d/1nV1-ot8Jo_eG0Fwu0phlmxvo7lUHrgrj/view?usp=share_link,https://juslaboris.tst.jus.br/handle/20.500.12178/214193,"ATO SEGJUD.GP Nº 196, DE 19 DE ABRIL DE 2023.",,,,
2023,3,26,,,,,,26 de Março de 2023,26/3/2023,"<a href=""https://docs.google.com/document/d/e/2PACX-1vSMWPjNELNwJbkZF4JwXYNZZwHvpCCOqVzCf8yWQMCzsouIUTAYJeDaTYgxKd5AqVbOxPiZfKgPpO8C/pub"" title=""levar para link""> ATO SEGJUD.GP Nº 153, DE 27 DE MARÇO DE 2023.</a>",https://drive.google.com/file/d/11nMz0FMAhF9bBFW7tfbtQQqa1y_jfSq4/view?usp=share_link,https://juslaboris.tst.jus.br/handle/20.500.12178/213290,"ATO SEGJUD.GP Nº 153, DE 27 DE MARÇO DE 2023.",,,,
2023,3,1,,,,,,01 de Março de 2023,1/3/2023,"<a href=""https://docs.google.com/document/d/e/2PACX-1vSBA-vWEdrHu1guEKJgqOv2P23O1tPmCCyGGeFBVfrD9C8BwvKuPiC2Y2NBPXaSb9Q1SDmhrYPHdDX9/pub"" title=""levar para link""> ATO SEGJUD.GP Nº 98, DE 1º DE MARÇO DE 2023. </a>",https://drive.google.com/file/d/1k36JGR6EK1avYCOWy_f4uJVShY6SSPJq/view?usp=share_link,https://juslaboris.tst.jus.br/handle/20.500.12178/212415,"ATO SEGJUD.GP Nº 98, DE 1º DE MARÇO DE 2023.",,,,
2023,2,17,,,,,,17 de Fevereiro de 2023,17/2/2023,"<a href=""https://docs.google.com/document/d/e/2PACX-1vRwFvDnrq8e8szIpTaVX0dY5s9sAH3mvR9a7OT5mtnV7JLqVRWwVZsQSUTJPmWHduK8Hmqe7EdRHcJw/pub"" title=""levar para link""> ATO SEGJUD.GP N° 69, DE 17 DE FEVEREIRO DE 2023.</a>",https://drive.google.com/file/d/1-cg6qLbq9RB_Y7x8w-5G6DlSJd2YvK7Q/view?usp=share_link,https://juslaboris.tst.jus.br/handle/20.500.12178/212134,"ATO SEGJUD.GP N° 69, DE 17 DE FEVEREIRO DE 2023.",,,,
2022,12,19,,,,,,19 de Dezembro de 2022,19/12/2022,"<a href=""https://docs.google.com/document/d/e/2PACX-1vRiBkPCjSOzSOF4OLdF1MiN2OUUZkrE-cayBBgXsKjyIeVTxRkhdywRnBcFH2zicZepzaqxE_SycO6k/pub"" title=""levar para link""> ATO SEGJUD.GP N° 784, DE 19 DE DEZEMBRO DE 2022. </a>",https://drive.google.com/file/d/1hsnT_R10t3I8cjNv4z123IgXbGg75gnc/view?usp=share_link,https://juslaboris.tst.jus.br/handle/20.500.12178/210196,"ATO SEGJUD.GP N° 784, DE 19 DE DEZEMBRO DE 2022.",,,,
2022,10,27,,,,,,27 de Outubro de 2022,27/10/2022,"<a href=""https://docs.google.com/document/d/e/2PACX-1vRUvG3oc9Wg5aTxJhtyaWPthx9AdX-WkMqL9XV1y3b7MR6_M1CGOATpcdBqOdVJ4fHKfkphGB6iTYMQ/pub"" title=""levar para link"">ATO SEGJUD.GP N° 665, DE 27 DE OUTUBRO DE 2022.  </a>",https://drive.google.com/file/d/1scTRJsEshXRc1zX824Fy1OkCHcobKVRl/view?usp=share_link,https://juslaboris.tst.jus.br/handle/20.500.12178/208533,"ATO SEGJUD.GP N° 665, DE 27 DE OUTUBRO DE 2022.",,,,
2022,10,21,,,,,,21 de Outubro de 2022,21/10/2022,"<a href=""https://docs.google.com/document/d/e/2PACX-1vTxX5o0i6iggPDjgiNHIfMDSP11Bhz79SOEE9pndX1KWnLMrIELRSn_laDSftzzejX2EJ0nxIOFHdKj/pub"" title=""levar para link""> ATO SEGJUD.GP N° 651, DE 21 DE OUTUBRO DE 2022. </a>",https://drive.google.com/file/d/1QUTsqPYCFybK_kiTELlMP6715KGuSBS_/view?usp=share_link,https://juslaboris.tst.jus.br/handle/20.500.12178/208413,"ATO SEGJUD.GP N° 651, DE 21 DE OUTUBRO DE 2022.",,,,
2022,10,17,,,, ,,17 de Outubro de 2022,17/10/2022,"<a href=""https://docs.google.com/document/d/e/2PACX-1vQlhAy2hyAZZ2lgEdeNreX86G7NyP7Xu0z4Fh3v0-uqQKKr-kV8Vtj5T2Nqs8gFXM7diE69O0WhJh4O/pub"" title=""levar para link""> ATO SEGJUD.GP N° 641, DE 17 DE OUTUBRO DE 2022. </a>",https://drive.google.com/file/d/1oRixb6p7QFKFSGl0ZZG9WGho-oDHFwu4/view?usp=share_link,https://juslaboris.tst.jus.br/handle/20.500.12178/208116,"ATO SEGJUD.GP N° 641, DE 17 DE OUTUBRO DE 2022.",,,,
2022,10,14,,,,,,14 de Outubro de 2022,14/10/2022,"<a href=""https://docs.google.com/document/d/e/2PACX-1vQw1tawl35IdcPjutW58AiLsncAauBz1f-ibohHW6l308nSjVm-a9v_luopkSmfDLwfgyj0hFeV5Uo5/pub"" title=""levar para link""> ATO SEGJUD.GP N° 634, DE 14 DE OUTUBRO DE 2022. </a>",https://drive.google.com/file/d/11q7tEipPJn6nDImPlUk_3d3GZreA3PMj/view?usp=share_link,https://juslaboris.tst.jus.br/handle/20.500.12178/208034,"ATO SEGJUD.GP N° 634, DE 14 DE OUTUBRO DE 2022.",,,,
